date,keyword,hits
2006-02-01,prices,36
2006-03-01,prices,35
2006-04-01,prices,45
2006-05-01,prices,38
2006-06-01,prices,27
2006-07-01,prices,31
2006-08-01,prices,29
2006-09-01,prices,38
2006-10-01,prices,33
2006-11-01,prices,27
2006-12-01,prices,26
2007-01-01,prices,27
2007-02-01,prices,36
2007-03-01,prices,36
2007-04-01,prices,37
2007-05-01,prices,36
2007-06-01,prices,26
2007-07-01,prices,25
2007-08-01,prices,27
2007-09-01,prices,26
2007-10-01,prices,29
2007-11-01,prices,35
2007-12-01,prices,31
2008-01-01,prices,34
2008-02-01,prices,34
2008-03-01,prices,50
2008-04-01,prices,51
2008-05-01,prices,51
2008-06-01,prices,47
2008-07-01,prices,47
2008-08-01,prices,35
2008-09-01,prices,76
2008-10-01,prices,100
2008-11-01,prices,66
2008-12-01,prices,48
2009-01-01,prices,41
2009-02-01,prices,45
2009-03-01,prices,46
2009-04-01,prices,40
2009-05-01,prices,35
2009-06-01,prices,29
2009-07-01,prices,29
2009-08-01,prices,26
2009-09-01,prices,28
2009-10-01,prices,30
2009-11-01,prices,29
2009-12-01,prices,25
2010-01-01,prices,26
2010-02-01,prices,29
2010-03-01,prices,31
2010-04-01,prices,32
2010-05-01,prices,29
2010-06-01,prices,21
2010-07-01,prices,21
2010-08-01,prices,19
2010-09-01,prices,21
2010-10-01,prices,21
2010-11-01,prices,25
2010-12-01,prices,24
2011-01-01,prices,30
2011-02-01,prices,38
2011-03-01,prices,45
2011-04-01,prices,45
2011-05-01,prices,37
2011-06-01,prices,28
2011-07-01,prices,26
2011-08-01,prices,38
2011-09-01,prices,29
2011-10-01,prices,30
2011-11-01,prices,26
2011-12-01,prices,23
2012-01-01,prices,27
2012-02-01,prices,37
2012-03-01,prices,40
2012-04-01,prices,33
2012-05-01,prices,27
2012-06-01,prices,26
2012-07-01,prices,24
2012-08-01,prices,25
2012-09-01,prices,29
2012-10-01,prices,36
2012-11-01,prices,32
2012-12-01,prices,21
2013-01-01,prices,25
2013-02-01,prices,28
2013-03-01,prices,28
2013-04-01,prices,30
2013-05-01,prices,27
2013-06-01,prices,24
2013-07-01,prices,25
2013-08-01,prices,22
2013-09-01,prices,23
2013-10-01,prices,26
2013-11-01,prices,23
2013-12-01,prices,21
2014-01-01,prices,24
2014-02-01,prices,27
2014-03-01,prices,27
2014-04-01,prices,27
2014-05-01,prices,24
2014-06-01,prices,21
2014-07-01,prices,22
2014-08-01,prices,20
2014-09-01,prices,21
2014-10-01,prices,29
2014-11-01,prices,27
2014-12-01,prices,38
2015-01-01,prices,40
2015-02-01,prices,37
2015-03-01,prices,32
2015-04-01,prices,32
2015-05-01,prices,27
2015-06-01,prices,26
2015-07-01,prices,32
2015-08-01,prices,38
2015-09-01,prices,32
2015-10-01,prices,30
2015-11-01,prices,27
2015-12-01,prices,32
2016-01-01,prices,41
2016-02-01,prices,41
2016-03-01,prices,35
2016-04-01,prices,33
2016-05-01,prices,32
2016-06-01,prices,35
2016-07-01,prices,32
2016-08-01,prices,25
2016-09-01,prices,26
2016-10-01,prices,27
2016-11-01,prices,33
2016-12-01,prices,29
2017-01-01,prices,27
2017-02-01,prices,26
2017-03-01,prices,31
2017-04-01,prices,28
2017-05-01,prices,27
2017-06-01,prices,29
2017-07-01,prices,26
2017-08-01,prices,26
2017-09-01,prices,24
2017-10-01,prices,25
2017-11-01,prices,27
2017-12-01,prices,26
2018-01-01,prices,29
2018-02-01,prices,36
2018-03-01,prices,29
2018-04-01,prices,29
2018-05-01,prices,28
2018-06-01,prices,26
2018-07-01,prices,27
2018-08-01,prices,22
2018-09-01,prices,25
2018-10-01,prices,28
2018-11-01,prices,29
2018-12-01,prices,28
2019-01-01,prices,26
2019-02-01,prices,25
2019-03-01,prices,24
2019-04-01,prices,26
2019-05-01,prices,26
2019-06-01,prices,24
2019-07-01,prices,22
2019-08-01,prices,26
2019-09-01,prices,27
2019-10-01,prices,23
2019-11-01,prices,21
2019-12-01,prices,21
2020-01-01,prices,24
2020-02-01,prices,30
2020-03-01,prices,80
2020-04-01,prices,70
2020-05-01,prices,33
2020-06-01,prices,31
2020-07-01,prices,29
2020-08-01,prices,29
2020-09-01,prices,24
2020-10-01,prices,28
2020-11-01,prices,36
2020-12-01,prices,25
2021-01-01,prices,32
2021-02-01,prices,37
2021-03-01,prices,32
2021-04-01,prices,30
2021-05-01,prices,32
2021-06-01,prices,29
2021-07-01,prices,26
2021-08-01,prices,24
2021-09-01,prices,24
2021-10-01,prices,29
2021-11-01,prices,29
2021-12-01,prices,27
2022-01-01,prices,27
2022-02-01,prices,39
2022-03-01,prices,87
2022-04-01,prices,36
2022-05-01,prices,46
2022-06-01,prices,58
2022-07-01,prices,40
2022-08-01,prices,32
2022-09-01,prices,31
2022-10-01,prices,32
2022-11-01,prices,30
2022-12-01,prices,27
2023-01-01,prices,25
2023-02-01,prices,27
2023-03-01,prices,26
2023-04-01,prices,25
2023-05-01,prices,24
2023-06-01,prices,23
2023-07-01,prices,24
2023-08-01,prices,24
2023-09-01,prices,25
2023-10-01,prices,25
2023-11-01,prices,23
2023-12-01,prices,24
2004-01-01,inflation,23
2004-02-01,inflation,25
2004-03-01,inflation,29
2004-04-01,inflation,38
2004-05-01,inflation,28
2004-06-01,inflation,28
2004-07-01,inflation,21
2004-08-01,inflation,20
2004-09-01,inflation,27
2004-10-01,inflation,27
2004-11-01,inflation,33
2004-12-01,inflation,29
2005-01-01,inflation,23
2005-02-01,inflation,31
2005-03-01,inflation,31
2005-04-01,inflation,36
2005-05-01,inflation,26
2005-06-01,inflation,22
2005-07-01,inflation,18
2005-08-01,inflation,21
2005-09-01,inflation,25
2005-10-01,inflation,33
2005-11-01,inflation,26
2005-12-01,inflation,22
2006-01-01,inflation,23
2006-02-01,inflation,25
2006-03-01,inflation,26
2006-04-01,inflation,29
2006-05-01,inflation,31
2006-06-01,inflation,26
2006-07-01,inflation,21
2006-08-01,inflation,19
2006-09-01,inflation,22
2006-10-01,inflation,24
2006-11-01,inflation,25
2006-12-01,inflation,21
2007-01-01,inflation,19
2007-02-01,inflation,26
2007-03-01,inflation,22
2007-04-01,inflation,24
2007-05-01,inflation,21
2007-06-01,inflation,19
2007-07-01,inflation,16
2007-08-01,inflation,19
2007-09-01,inflation,22
2007-10-01,inflation,25
2007-11-01,inflation,27
2007-12-01,inflation,24
2008-01-01,inflation,30
2008-02-01,inflation,31
2008-03-01,inflation,34
2008-04-01,inflation,34
2008-05-01,inflation,28
2008-06-01,inflation,30
2008-07-01,inflation,28
2008-08-01,inflation,23
2008-09-01,inflation,27
2008-10-01,inflation,34
2008-11-01,inflation,27
2008-12-01,inflation,24
2009-01-01,inflation,23
2009-02-01,inflation,27
2009-03-01,inflation,30
2009-04-01,inflation,23
2009-05-01,inflation,21
2009-06-01,inflation,20
2009-07-01,inflation,15
2009-08-01,inflation,16
2009-09-01,inflation,18
2009-10-01,inflation,21
2009-11-01,inflation,21
2009-12-01,inflation,20
2010-01-01,inflation,16
2010-02-01,inflation,20
2010-03-01,inflation,19
2010-04-01,inflation,19
2010-05-01,inflation,18
2010-06-01,inflation,12
2010-07-01,inflation,11
2010-08-01,inflation,12
2010-09-01,inflation,13
2010-10-01,inflation,20
2010-11-01,inflation,24
2010-12-01,inflation,16
2011-01-01,inflation,18
2011-02-01,inflation,24
2011-03-01,inflation,20
2011-04-01,inflation,27
2011-05-01,inflation,18
2011-06-01,inflation,13
2011-07-01,inflation,13
2011-08-01,inflation,15
2011-09-01,inflation,15
2011-10-01,inflation,16
2011-11-01,inflation,16
2011-12-01,inflation,14
2012-01-01,inflation,13
2012-02-01,inflation,15
2012-03-01,inflation,14
2012-04-01,inflation,16
2012-05-01,inflation,14
2012-06-01,inflation,10
2012-07-01,inflation,9
2012-08-01,inflation,10
2012-09-01,inflation,17
2012-10-01,inflation,16
2012-11-01,inflation,15
2012-12-01,inflation,13
2013-01-01,inflation,13
2013-02-01,inflation,17
2013-03-01,inflation,15
2013-04-01,inflation,16
2013-05-01,inflation,13
2013-06-01,inflation,10
2013-07-01,inflation,9
2013-08-01,inflation,9
2013-09-01,inflation,12
2013-10-01,inflation,16
2013-11-01,inflation,16
2013-12-01,inflation,14
2014-01-01,inflation,13
2014-02-01,inflation,15
2014-03-01,inflation,15
2014-04-01,inflation,16
2014-05-01,inflation,16
2014-06-01,inflation,12
2014-07-01,inflation,10
2014-08-01,inflation,9
2014-09-01,inflation,14
2014-10-01,inflation,16
2014-11-01,inflation,14
2014-12-01,inflation,14
2015-01-01,inflation,14
2015-02-01,inflation,16
2015-03-01,inflation,16
2015-04-01,inflation,18
2015-05-01,inflation,16
2015-06-01,inflation,10
2015-07-01,inflation,11
2015-08-01,inflation,11
2015-09-01,inflation,17
2015-10-01,inflation,16
2015-11-01,inflation,16
2015-12-01,inflation,16
2016-01-01,inflation,13
2016-02-01,inflation,17
2016-03-01,inflation,16
2016-04-01,inflation,17
2016-05-01,inflation,15
2016-06-01,inflation,10
2016-07-01,inflation,10
2016-08-01,inflation,10
2016-09-01,inflation,13
2016-10-01,inflation,15
2016-11-01,inflation,17
2016-12-01,inflation,16
2017-01-01,inflation,15
2017-02-01,inflation,16
2017-03-01,inflation,17
2017-04-01,inflation,16
2017-05-01,inflation,15
2017-06-01,inflation,10
2017-07-01,inflation,10
2017-08-01,inflation,10
2017-09-01,inflation,14
2017-10-01,inflation,16
2017-11-01,inflation,15
2017-12-01,inflation,15
2018-01-01,inflation,15
2018-02-01,inflation,24
2018-03-01,inflation,16
2018-04-01,inflation,18
2018-05-01,inflation,15
2018-06-01,inflation,11
2018-07-01,inflation,11
2018-08-01,inflation,12
2018-09-01,inflation,15
2018-10-01,inflation,19
2018-11-01,inflation,16
2018-12-01,inflation,15
2019-01-01,inflation,14
2019-02-01,inflation,15
2019-03-01,inflation,16
2019-04-01,inflation,17
2019-05-01,inflation,15
2019-06-01,inflation,11
2019-07-01,inflation,11
2019-08-01,inflation,11
2019-09-01,inflation,13
2019-10-01,inflation,14
2019-11-01,inflation,13
2019-12-01,inflation,14
2020-01-01,inflation,13
2020-02-01,inflation,15
2020-03-01,inflation,16
2020-04-01,inflation,19
2020-05-01,inflation,17
2020-06-01,inflation,12
2020-07-01,inflation,13
2020-08-01,inflation,16
2020-09-01,inflation,16
2020-10-01,inflation,13
2020-11-01,inflation,14
2020-12-01,inflation,15
2021-01-01,inflation,18
2021-02-01,inflation,24
2021-03-01,inflation,26
2021-04-01,inflation,23
2021-05-01,inflation,54
2021-06-01,inflation,38
2021-07-01,inflation,28
2021-08-01,inflation,20
2021-09-01,inflation,24
2021-10-01,inflation,36
2021-11-01,inflation,54
2021-12-01,inflation,41
2022-01-01,inflation,51
2022-02-01,inflation,58
2022-03-01,inflation,61
2022-04-01,inflation,64
2022-05-01,inflation,76
2022-06-01,inflation,100
2022-07-01,inflation,81
2022-08-01,inflation,87
2022-09-01,inflation,81
2022-10-01,inflation,90
2022-11-01,inflation,65
2022-12-01,inflation,48
2023-01-01,inflation,45
2023-02-01,inflation,49
2023-03-01,inflation,44
2023-04-01,inflation,40
2023-05-01,inflation,34
2023-06-01,inflation,28
2023-07-01,inflation,32
2023-08-01,inflation,33
2023-09-01,inflation,35
2023-10-01,inflation,30
2023-11-01,inflation,35
2023-12-01,inflation,39
